Temperature,Ws,RH,Rain,FFMC,DMC,ISI,Temperature Ws,Temperature RH,Ws RH,Ws FFMC,RH FFMC,Rain DMC,Rain DC,Rain ISI,Rain BUI
15.86139179,23.92998243,103.0834932,6.862310716,18.20680273,6.705574999,1.272175111,379.56282685004624,1635.047672727001,2466.7861810990244,435.688469435376,1876.8208254116964,46.01573917257939,116.20677776636228,8.730060896843788,10.754174934808177
25.12781055,16.06641418,85.09568644,-0.332408217,36.300922,4.30762151,-1.707134504,403.7138117328736,2138.2682874865236,1367.1825432764495,583.2256479678739,3089.0518759948973,-1.4318887856499476,2.9297085276355284,0.5674655366538194,0.7205639529186771
25.80453864,8.603607329,112.8483123,10.14842968,32.90985298,-3.989973781,0.886848669,222.0121177645677,2911.9986352041374,970.902566769561,283.1434522950405,3713.8213668341255,-40.491968341522224,124.59058248266125,9.000121354148096,51.84040764416004
39.15717911,13.34719709,40.35921437,-0.050950119,101.8339496,4.923228779,1.000105588,522.6385870696008,1580.3529858249758,538.6823885939501,1359.1977957643267,4109.938202050175,-0.25083909215427475,-0.8921102873145819,-0.05095549872116498,-0.10140196810138201
14.94353443,14.97614275,51.88719988,3.91050547,66.60835683,0.628216735,-1.773157749,223.79650481321985,775.3781578830718,777.0701123006628,997.5362602290176,3456.121124516573,2.45664497856304,67.77873477668332,-6.933943076637386,35.51932811622795
39.94357299,12.09339917,86.38432385,0.218680372,68.54226541,0.924207737,4.735819729,483.0535724441004,3450.498544894273,1044.6801103486011,828.9089756192137,5920.977252590093,0.20210609173243818,3.5838244219003266,1.0356308200626594,0.3061063584668727
27.63048148,23.35223879,53.20763393,-0.131627583,44.6057611,4.994989503,0.47277963,645.2336014036326,1470.1525438974845,1242.517372984266,1041.6443846168931,2373.3670077778343,-0.6574783953902612,-1.0124620088638436,-0.062230839988534285,0.1486436296730587
36.07623001,8.320997352,77.71991111,0.123537571,80.05524654,9.379272346,-0.124093169,300.19021438335295,2803.8413895611147,646.7071745439853,666.1394944730471,6221.886644977935,1.1586925233723115,4.771185891205146,-0.015330168675952499,0.5703029905383463
41.86018413,21.06246134,50.2889395,0.042094794,97.93764057,-1.715874485,2.131895322,881.6785099234065,2105.10426717243,1059.2088440483487,2062.8077682364406,4925.180081397475,-0.0722293829759311,0.9664446081909481,0.08974169440915367,0.3821486496781483
24.84521182,12.47947233,54.59676527,4.097245956,76.94543055,4.1169554,-0.952392753,310.05513344067896,1356.4681978199694,681.3388214944699,960.2383714686616,4200.971610337437,16.868178863682363,-1.5144090051695696,-3.902187355752957,-7.462594495662259
41.93120124,15.88653102,87.76924718,0.020305128,41.4184777,5.224906406,3.679578703,666.1413292051225,3680.2699661878823,1394.3488679271175,657.9959307822282,3635.2686070706172,0.10609239336184996,0.996766002204744,0.07471431655048898,0.19960635348720163
45.69732503,12.76207304,73.66544344,6.833435153,74.26451239,5.725412483,1.86266136,583.1925997654803,3366.3137123567617,940.123769705269,947.7691314011649,5470.728237064724,39.12423492675722,98.9312342085249,12.728375615558788,27.297188861204315
30.65935578,22.63614205,96.22878319,0.269712664,71.65176979,4.120638242,1.330033762,694.0095325975685,2950.3125000986934,2178.248405587492,1621.9196391003388,6894.962620301702,1.1113883176300967,8.323503541853439,0.35872694915896197,1.1804553044368515
45.17119507,10.27506553,68.0137148,-0.322769038,92.81177733,4.809501473,2.141706384,464.13698941266296,3072.2607786661465,698.8453765087309,953.6470940215183,6312.473753403726,-1.552358163699793,-11.5095647253803,-0.6912765092421386,0.06810733622878234
37.87233226,17.9723708,91.27816429,0.235269875,57.09150351,8.855401135,3.436017226,680.655598437522,3456.916966073747,1640.4850145631988,1026.0696706112215,5211.207636948892,2.083409118106308,6.324714247285734,0.8083913432588667,0.7955608970966935
