Temperature,Ws,RH,Rain,FFMC,DMC,ISI,Temperature Ws,Temperature RH,Temperature FFMC,Ws RH,Ws FFMC,RH FFMC,Rain DC,Rain ISI
30.61406094,25.71907172,41.15244493,-0.278087804,90.63275305,26.05405451,8.196870579,787.3652289563106,1259.8434569170142,2774.636625032671,1058.4026826080203,2330.9902758739986,3729.759378744415,-31.67739073737334,-2.2794497389863184
29.43454979,14.40415404,80.7470147,0.870041869,71.29602289,4.858150615,1.748677944,423.97978927320963,2376.7520245810115,2098.5663355846846,1163.0924380089443,1026.958896146926,5756.941008350366,14.51216600675005,1.5214230266768374
38.85840052,25.53968397,51.4235248,0.460537217,68.86270048,6.198850912,0.945939446,992.4312688604836,1998.235922828553,2675.894396140636,1313.3405720154574,1758.7316075799672,3541.162785928252,-0.371735329213037,0.43564031991136176
33.40960419,6.96820814,75.95659505,-0.192492201,118.6068793,12.95682489,5.779215044,232.80507587093612,2537.6797762406136,3962.6088916241047,529.2813639140937,826.4774217982575,9008.974701134328,-6.109940699637489,-1.1124538238718717
27.99131511,11.62912438,80.80138695,-0.166931841,103.9877842,4.217710499,6.63911377,325.51448497396336,2261.7370834424914,2910.7548351328787,939.6493789180588,1209.2868764623988,8402.357189217295,-4.740397870158972,-1.1082794842345505
16.9524625,20.39145584,63.07321361,0.894466786,36.20881861,1.916807139,-0.256251291,345.685390448006,1069.2462884780145,613.8286396553272,1286.154650015202,738.3505257043852,2283.8065507542733,24.404824430535697,-0.2292082686691207
44.66615633,8.037367711,57.76549369,-0.176276452,66.45310785,20.60690248,8.040057561,358.99832266122024,2580.1625716371686,2968.2049038424498,464.28251379398023,534.1080633291906,3838.696582190064,-8.151743305585294,-1.4172728207288534
21.53062249,12.51299802,71.45709717,0.110063556,120.6222212,12.95768742,4.685627059,269.41263658673745,1538.5157833985172,2597.0715085624747,894.1425154031575,1509.345615043602,8619.313781149634,4.030554936609,0.5157167762033618
17.32467541,15.01873914,52.60179458,-0.131246243,51.72954577,3.273574472,1.737110787,260.19478066796256,911.3090170819974,896.1975895719886,790.0126310928858,776.9125537503204,2721.0669403102484,-5.925861551080867,-0.22798926446852327
24.42737299,12.57775621,67.52372674,-0.161626583,65.30877882,25.29050693,5.895634263,307.24154231895875,1649.4272587528167,1595.321899757552,849.2969733263781,821.4378983707716,4409.89213476478,-8.65914953244863,-0.9528912205464133
33.6891371,6.236119789,8.224498463,0.863571304,55.93935853,23.41489871,3.412852613,210.0894945436441,277.0762562987463,1884.5487188032246,51.28895761971438,348.84454071289895,460.0731682511909,49.82195639958821,2.9472415813682176
48.2940159,8.813027568,94.52511529,0.245336646,99.75274708,12.29242863,1.856760039,425.6164934961304,4564.997420764593,4817.460753550199,833.0524469191485,879.1237099997717,9429.139918231213,7.767741307986094,0.4555312803950892
24.92960079,17.33094785,32.16203381,0.293608401,113.1594068,16.09156507,16.00069795,432.0536112128088,801.7866634777826,2821.0188371572112,557.3985307110468,1961.1597779877354,3639.4366674211437,9.836963594791818,4.697939339983478
